"광역시도","moon","투표율"
"경기도",3319812,24.7307915791356
"서울특별시",2781345,20.7195056541367
"부산광역시",872127,6.49687122871318
"경상남도",779731,5.80857134343479
"전라북도",778747,5.8012410792771
"인천광역시",747090,5.56541366826085
"전라남도",737921,5.49710961128742
"광주광역시",583847,4.34934221308422
"충청남도",476661,3.55086488177714
"대전광역시",404545,3.01363995291944
"충청북도",374806,2.79210059744633
"경상북도",369726,2.75425736378671
"대구광역시",342620,2.55233242449977
"강원도",324768,2.41934474589907
"울산광역시",282794,2.10666130305875
"제주특별자치도",169493,1.26263055170667
"세종특별자치시",77767,0.579321801576305
