"광역시도","ahn","투표율"
"경기도",1807308,25.8248025032215
"서울특별시",1492767,21.3302950898942
"인천광역시",428888,6.1284229893309
"부산광역시",378907,5.41423954416632
"전라남도",378179,5.40383708026844
"충청남도",290216,4.14692508597036
"광주광역시",287222,4.10414352428046
"전라북도",285467,4.07906615595522
"경상남도",284272,4.06199068293604
"경상북도",253905,3.6280736208662
"대구광역시",235757,3.36875505655482
"대전광역시",218769,3.126011846806
"충청북도",211454,3.0214870893706
"강원도",206840,2.95555718768817
"울산광역시",128520,1.83643497274069
"제주특별자치도",77861,1.11256351861627
"세종특별자치시",32010,0.457394051333873
